date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:20:22	207311/207311	---MCZ	200	added ('OK')	text/html	etag:W/%22572caaff-329cf%22	http://shop.azelab.com/home-1-clothes-full-width.html	D:/NODEJS/Shop/shop.azelab.com/home-1-clothes-full-width.html	(from )
11:20:23	722/722	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2258c-571ce8512b212%22	http://shop.azelab.com/robots.txt		(from )
11:20:23	168/168	---M--	200	added ('OK')	text/css	etag:%22572cab1d-a8%22	http://shop.azelab.com/font-face/helvetica.css	D:/NODEJS/Shop/shop.azelab.com/font-face/helvetica.css	(from http://shop.azelab.com/home-1-clothes-full-width.html)
11:20:24	129869/129869	---MCZ	200	added ('OK')	text/css	etag:W/%22574874d4-1fb4d%22	http://shop.azelab.com/css/bootstrap.css	D:/NODEJS/Shop/shop.azelab.com/css/bootstrap.css	(from http://shop.azelab.com/home-1-clothes-full-width.html)
11:20:24	2553/2553	---MCZ	200	added ('OK')	text/css	etag:W/%22574874d6-9f9%22	http://shop.azelab.com/css/vendor/validation-engine.css	D:/NODEJS/Shop/shop.azelab.com/css/vendor/validation-engine.css	(from http://shop.azelab.com/home-1-clothes-full-width.html)
11:20:24	490/490	---M--	200	added ('OK')	text/css	etag:%22572cac97-1ea%22	http://shop.azelab.com/plugins/responsiveslides/responsiveslides.css	D:/NODEJS/Shop/shop.azelab.com/plugins/responsiveslides/responsiveslides.css	(from http://shop.azelab.com/home-1-clothes-full-width.html)
11:20:25	207119/207119	---MCZ	200	added ('OK')	text/css	etag:W/%22574874d5-3290f%22	http://shop.azelab.com/css/style.css	D:/NODEJS/Shop/shop.azelab.com/css/style.css	(from http://shop.azelab.com/home-1-clothes-full-width.html)
11:20:25	11032/11032	---MCZ	200	added ('OK')	text/css	etag:W/%22572cab2f-2b18%22	http://shop.azelab.com/fonts/simple-line-icons.css	D:/NODEJS/Shop/shop.azelab.com/fonts/simple-line-icons.css	(from http://shop.azelab.com/home-1-clothes-full-width.html)
11:20:26	25237/25237	---MCZ	200	added ('OK')	text/css	etag:W/%22572cab2f-6295%22	http://shop.azelab.com/fonts/elegant-icons.css	D:/NODEJS/Shop/shop.azelab.com/fonts/elegant-icons.css	(from http://shop.azelab.com/home-1-clothes-full-width.html)
11:20:26	15414/15414	---MCZ	200	added ('OK')	application/javascript	etag:W/%22574874de-3c36%22	http://shop.azelab.com/js/modernizr-2.6.2.min.js	D:/NODEJS/Shop/shop.azelab.com/js/modernizr-2.6.2.min.js	(from http://shop.azelab.com/home-1-clothes-full-width.html)
